Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,9840.000000,9900.000000,9760.000000,9760.000000,8073.905762,8018000
2017-06-23,9760.000000,9760.000000,9760.000000,9760.000000,8073.905762,0
2017-06-26,9760.000000,9760.000000,9760.000000,9760.000000,8073.905762,0
2017-06-27,9760.000000,9760.000000,9760.000000,9760.000000,8073.905762,0
2017-06-28,9760.000000,9760.000000,9760.000000,9760.000000,8073.905762,0
2017-06-29,9760.000000,9760.000000,9760.000000,9760.000000,8073.905762,0
2017-06-30,9760.000000,9760.000000,9760.000000,9760.000000,8073.905762,0
2017-07-03,9900.000000,9905.000000,9730.000000,9890.000000,8181.446777,14225000
2017-07-04,9770.000000,9820.000000,9745.000000,9750.000000,8065.632813,5706500
2017-07-05,9805.000000,9860.000000,9620.000000,9700.000000,8024.270508,9309500
2017-07-06,9625.000000,9790.000000,9610.000000,9780.000000,8167.917969,4656500
2017-07-07,9700.000000,9755.000000,9560.000000,9620.000000,8034.291992,4487500
2017-07-10,9620.000000,9630.000000,9305.000000,9345.000000,7804.623535,8638500
2017-07-11,9455.000000,9500.000000,9325.000000,9500.000000,7934.071777,5419500
2017-07-12,9500.000000,9700.000000,9450.000000,9660.000000,8067.699707,6120500
2017-07-13,9700.000000,9720.000000,9630.000000,9700.000000,8101.105957,10013000
2017-07-14,9630.000000,9720.000000,9535.000000,9720.000000,8117.810059,3841000
2017-07-17,9715.000000,9715.000000,9585.000000,9665.000000,8071.874512,5036500
2017-07-18,9600.000000,9600.000000,9485.000000,9530.000000,7959.125977,7084500
2017-07-19,9530.000000,9530.000000,9435.000000,9500.000000,7934.071777,9267000
2017-07-20,9490.000000,9660.000000,9460.000000,9655.000000,8063.523438,6951500
2017-07-21,9655.000000,9655.000000,9525.000000,9545.000000,7971.654297,3462500
2017-07-24,9580.000000,9720.000000,9560.000000,9670.000000,8076.052246,10861500
2017-07-25,9670.000000,9680.000000,9600.000000,9610.000000,8025.941406,9731500
2017-07-26,9660.000000,9680.000000,9550.000000,9550.000000,7975.830078,8408500
2017-07-27,9600.000000,9600.000000,9465.000000,9560.000000,7984.183105,10461000
2017-07-28,9560.000000,9720.000000,9475.000000,9675.000000,8080.227539,7681500
2017-07-31,9620.000000,9910.000000,9540.000000,9790.000000,8176.270508,17823000
2017-08-01,9820.000000,9820.000000,9680.000000,9695.000000,8096.929199,6125000
2017-08-02,9695.000000,9705.000000,9650.000000,9695.000000,8096.929199,6305500
2017-08-03,9650.000000,9660.000000,9535.000000,9540.000000,7967.478027,13967500
2017-08-04,9525.000000,9550.000000,9505.000000,9515.000000,7946.598633,10639000
2017-08-07,9500.000000,9530.000000,9385.000000,9415.000000,7863.084473,11487500
2017-08-08,9445.000000,9505.000000,9440.000000,9485.000000,7921.545410,7408000
2017-08-09,9505.000000,9620.000000,9505.000000,9620.000000,8034.291992,10842000
2017-08-10,9560.000000,9605.000000,9475.000000,9605.000000,8021.765137,4518000
2017-08-11,9580.000000,9580.000000,9460.000000,9500.000000,7934.071777,7609000
2017-08-14,9550.000000,9700.000000,9535.000000,9650.000000,8059.347168,4960500
2017-08-15,9645.000000,9800.000000,9580.000000,9660.000000,8067.699707,6857500
2017-08-16,9760.000000,9880.000000,9640.000000,9870.000000,8243.085938,10184500
2017-08-17,9870.000000,9870.000000,9870.000000,9870.000000,8243.085938,0
2017-08-18,9840.000000,9900.000000,9830.000000,9895.000000,8263.961914,7911000
2017-08-21,9895.000000,9900.000000,9615.000000,9665.000000,8071.874512,4622500
2017-08-22,9680.000000,9860.000000,9680.000000,9855.000000,8230.557617,8817500
2017-08-23,9870.000000,10000.000000,9825.000000,9985.000000,8339.127930,6244000
2017-08-24,9970.000000,9985.000000,9690.000000,9900.000000,8268.137695,8362000
2017-08-25,9940.000000,10095.000000,9810.000000,9990.000000,8343.304688,11047500
2017-08-28,9985.000000,9985.000000,9950.000000,9960.000000,8318.249023,3337500
2017-08-29,9985.000000,10110.000000,9955.000000,10100.000000,8435.171875,15226000
2017-08-30,10150.000000,10200.000000,10100.000000,10100.000000,8435.171875,12592500
2017-08-31,10200.000000,10200.000000,10045.000000,10110.000000,8443.522461,8868000
2017-09-01,10110.000000,10110.000000,10110.000000,10110.000000,8443.522461,0
2017-09-04,10110.000000,10240.000000,10110.000000,10195.000000,8514.511719,7962000
2017-09-05,10170.000000,10205.000000,10080.000000,10200.000000,8518.687500,4802000
2017-09-06,10100.000000,10145.000000,10080.000000,10120.000000,8451.875977,7837000
2017-09-07,10120.000000,10160.000000,10090.000000,10120.000000,8451.875977,5440500
2017-09-08,10120.000000,10180.000000,10100.000000,10160.000000,8485.280273,5309000
2017-09-11,10120.000000,10200.000000,10105.000000,10105.000000,8439.346680,4821000
2017-09-12,10120.000000,10215.000000,10115.000000,10120.000000,8451.875977,6335500
2017-09-13,10120.000000,10280.000000,10120.000000,10240.000000,8552.093750,5244500
2017-09-14,10200.000000,10350.000000,10175.000000,10220.000000,8535.390625,7497000
2017-09-15,10270.000000,10300.000000,10080.000000,10185.000000,8506.159180,13225500
2017-09-18,10185.000000,10235.000000,10015.000000,10200.000000,8518.687500,5104500
2017-09-19,10285.000000,10285.000000,10120.000000,10200.000000,8518.687500,9661000
2017-09-20,10200.000000,10230.000000,10105.000000,10200.000000,8518.687500,8159000
2017-09-21,10200.000000,10200.000000,10200.000000,10200.000000,8518.687500,0
2017-09-22,10200.000000,10205.000000,9975.000000,10000.000000,8351.657227,13066500
2017-09-25,10000.000000,10005.000000,9795.000000,9940.000000,8301.545898,9983000
2017-09-26,9940.000000,9955.000000,9830.000000,9870.000000,8243.085938,8519000
2017-09-27,9965.000000,10030.000000,9910.000000,10000.000000,8351.657227,10578500
2017-09-28,10025.000000,10090.000000,9815.000000,9840.000000,8218.029297,12687500
2017-09-29,9920.000000,10070.000000,9795.000000,9795.000000,8180.446289,9658000
2017-10-02,9840.000000,10030.000000,9840.000000,10030.000000,8376.710938,6749500
2017-10-03,10035.000000,10235.000000,10005.000000,10165.000000,8489.457031,11272000
2017-10-04,10200.000000,10230.000000,10165.000000,10180.000000,8501.985352,10373000
2017-10-05,10180.000000,10180.000000,10005.000000,10020.000000,8368.359375,8606000
2017-10-06,10100.000000,10100.000000,9980.000000,9995.000000,8347.480469,6094000
2017-10-09,10000.000000,10055.000000,9900.000000,9960.000000,8318.249023,5257500
2017-10-10,10000.000000,10020.000000,9840.000000,9865.000000,8238.909180,8980500
2017-10-11,9860.000000,9860.000000,9725.000000,9775.000000,8163.743652,13506000
2017-10-12,9775.000000,9900.000000,9775.000000,9800.000000,8184.622559,11075500
2017-10-13,9805.000000,9890.000000,9720.000000,9850.000000,8226.380859,7564000
2017-10-16,9840.000000,9840.000000,9710.000000,9840.000000,8218.029297,14947500
2017-10-17,9840.000000,10000.000000,9840.000000,10000.000000,8351.657227,9172000
2017-10-18,10010.000000,10040.000000,9920.000000,9995.000000,8347.480469,8779500
2017-10-19,10000.000000,10000.000000,9935.000000,9935.000000,8297.370117,8349000
2017-10-20,9935.000000,10000.000000,9880.000000,9910.000000,8276.490234,5250500
2017-10-23,9910.000000,9950.000000,9820.000000,9830.000000,8209.676758,5488000
2017-10-24,9900.000000,9960.000000,9810.000000,9830.000000,8209.676758,6441000
2017-10-25,9840.000000,9900.000000,9815.000000,9900.000000,8268.137695,11117500
2017-10-26,9905.000000,9905.000000,9815.000000,9905.000000,8272.314453,13064000
2017-10-27,9820.000000,9905.000000,9810.000000,9830.000000,8209.676758,9376500
2017-10-30,9830.000000,9920.000000,9780.000000,9830.000000,8209.676758,6617500
2017-10-31,9990.000000,9990.000000,9850.000000,9920.000000,8284.841797,11025500
2017-11-01,9850.000000,9955.000000,9850.000000,9920.000000,8284.841797,4798500
2017-11-02,9955.000000,9955.000000,9810.000000,9815.000000,8197.150391,15044500
2017-11-03,9830.000000,9980.000000,9815.000000,9975.000000,8330.774414,5694000
2017-11-06,9840.000000,9960.000000,9810.000000,9835.000000,8213.854492,11908000
2017-11-07,9900.000000,9900.000000,9840.000000,9870.000000,8243.085938,6445500
2017-11-08,9860.000000,9900.000000,9860.000000,9890.000000,8259.787109,3795500
2017-11-09,9900.000000,9900.000000,9860.000000,9860.000000,8234.733398,6427500
2017-11-10,9850.000000,9930.000000,9830.000000,9835.000000,8213.854492,7882000
2017-11-13,9830.000000,9945.000000,9830.000000,9845.000000,8222.205078,7800000
2017-11-14,9830.000000,9850.000000,9795.000000,9795.000000,8180.446289,10573000
2017-11-15,9795.000000,9845.000000,9790.000000,9795.000000,8180.446289,11142000
2017-11-16,9785.000000,9960.000000,9785.000000,9850.000000,8226.380859,8375500
2017-11-17,9830.000000,10000.000000,9830.000000,9930.000000,8293.193359,11551500
2017-11-20,9895.000000,9980.000000,9885.000000,9885.000000,8255.610352,9124500
